web-scraper-order,web-scraper-start-url,birth-place,native-language,other-languages,age-sex,age-of-english-onset,english-method,english-residence,length-residence,mp3-link,website-tag
"1676624632-2828","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=373","birth place: bangkok, thailand (map)","thai","other language(s): none","age, sex: 22, male","age of english onset: 4","english learning method: academic","english residence: usa","length of english residence: 0.25 years","/soundtracks/thai3.mp3","thai3"
"1676624635-2829","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=372","birth place: chiang mai, thailand (map)","thai","other language(s): none","age, sex: 20, male","age of english onset: 10","english learning method: academic","english residence: new zealand,usa","length of english residence: 2 years","/soundtracks/thai2.mp3","thai2"
"1676624637-2830","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=371","birth place: khon kaen, thailand (map)","thai","other language(s): none","age, sex: 25, female","age of english onset: 10","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/thai1.mp3","thai1"
"1676624640-2831","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=370","birth place: guntur, andhra pradesh, india (map)","telugu","other language(s): hindi-urdu","age, sex: 18, male","age of english onset: 6","english learning method: academic","english residence: usa","length of english residence: 3 years","/soundtracks/telugu2.mp3","telugu2"
"1676624642-2832","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=369","birth place: kadapa, india (map)","telugu","other language(s): hindi-urdu tamil","age, sex: 31, male","age of english onset: 6","english learning method: academic","english residence: usa","length of english residence: 4 years","/soundtracks/telugu1.mp3","telugu1"
"1676624645-2833","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=368","birth place: kargali, tatarstan, russia (map)","tatar","other language(s): russian french","age, sex: 29, female","age of english onset: 10","english learning method: academic","english residence: usa","length of english residence: 8 years","/soundtracks/tatar1.mp3","tatar1"
"1676624648-2834","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=367","birth place: colombo, sri lanka (map)","tamil","other language(s): sinhalese telugu malayalam","age, sex: 39, male","age of english onset: 7","english learning method: academic","english residence: usa","length of english residence: 13 years","/soundtracks/tamil1.mp3","tamil1"
"1676624650-2835","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=366","birth place: kao-hsiung, taiwan (map)","taiwanese","other language(s): mandarin","age, sex: 45, female","age of english onset: 21","english learning method: naturalistic","english residence: usa","length of english residence: 34 years","/soundtracks/taiwanese4.mp3","taiwanese4"
"1676624652-2836","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=365","birth place: tainan, taiwan (map)","taiwanese","other language(s): mandarin","age, sex: 30, female","age of english onset: 13","english learning method: academic","english residence: usa","length of english residence: 0.7 years","/soundtracks/taiwanese3.mp3","taiwanese3"
"1676624655-2837","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=364","birth place: taipei, taiwan (map)","taiwanese","other language(s): mandarin","age, sex: 24, female","age of english onset: 17","english learning method: academic","english residence: usa","length of english residence: 0.25 years","/soundtracks/taiwanese2.mp3","taiwanese2"
"1676624657-2838","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=363","birth place: ping tung, taiwan (map)","taiwanese","other language(s): mandarin","age, sex: 36, female","age of english onset: 13","english learning method: academic","english residence: uk,usa","length of english residence: 1.7 years","/soundtracks/taiwanese1.mp3","taiwanese1"
"1676624660-2839","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=362","birth place: taishan, guangdong, china (map)","taishan","other language(s): cantonese mandarin","age, sex: 21, male","age of english onset: 7","english learning method: academic","english residence: usa","length of english residence: 10 years","/soundtracks/taishan1.mp3","taishan1"
"1676624662-2840","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=361","birth place: honiara, guadalcanal, solomon islands (map)","tagalog","other language(s): bislama solomon islands pidgin","age, sex: 19, female","age of english onset: 1","english learning method: naturalistic","english residence: usa","length of english residence: 3 years","/soundtracks/tagalog3.mp3","tagalog3"
"1676624665-2841","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=360","birth place: urdaneta, luzon, philippines (map)","tagalog","other language(s): ilocano","age, sex: 21, female","age of english onset: 7","english learning method: academic","english residence: usa","length of english residence: 4 years","/soundtracks/tagalog2.mp3","tagalog2"
"1676624668-2842","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=359","birth place: manila, philippines (map)","tagalog","other language(s): none","age, sex: 18, male","age of english onset: 10","english learning method: academic","english residence: usa","length of english residence: 0.5 years","/soundtracks/tagalog1.mp3","tagalog1"
"1676624670-2843","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=358","birth place:","synthesized","other language(s): none","age, sex: 0, male","age of english onset: 0","english learning method:","english residence: mac system 8.5","length of english residence: 0 years","/soundtracks/synthesized4.mp3","synthesized4"
"1676624673-2844","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=357","birth place:","synthesized","other language(s): none","age, sex: 0, female","age of english onset: 0","english learning method:","english residence: mac system 8.5","length of english residence: 0 years","/soundtracks/synthesized3.mp3","synthesized3"
"1676624675-2845","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=356","birth place:","synthesized","other language(s): none","age, sex: 0, female","age of english onset: 0","english learning method:","english residence: mac system 8.5","length of english residence: 0 years","/soundtracks/synthesized2.mp3","synthesized2"
"1676624678-2846","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=355","birth place:","synthesized","other language(s): none","age, sex: 0, male","age of english onset: 0","english learning method:","english residence: mac system 8.5","length of english residence: 0 years","/soundtracks/synthesized1.mp3","synthesized1"
"1676624680-2847","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=354","birth place: lulea, sweden (map)","swedish","other language(s): german","age, sex: 22, male","age of english onset: 10","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/swedish4.mp3","swedish4"
"1676624683-2848","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=353","birth place: stockholm, sweden (map)","swedish","other language(s): german","age, sex: 24, male","age of english onset: 10","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/swedish3.mp3","swedish3"
"1676624685-2849","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=352","birth place: uppsala, sweden (map)","swedish","other language(s): german","age, sex: 20, male","age of english onset: 10","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/swedish2.mp3","swedish2"
"1676624688-2850","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=351","birth place: solna, sweden (map)","swedish","other language(s): german","age, sex: 56, female","age of english onset: 11","english learning method: academic","english residence: usa","length of english residence: 20 years","/soundtracks/swedish1.mp3","swedish1"
"1676624690-2851","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=350","birth place: araure, venezuela (map)","spanish","other language(s): none","age, sex: 20, male","age of english onset: 17","english learning method: academic","english residence: usa,trinidad","length of english residence: 0.4 years","/soundtracks/spanish9.mp3","spanish9"
"1676624693-2852","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=349","birth place: san salvador, el salvador (map)","spanish","other language(s): none","age, sex: 21, male","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 0.5 years","/soundtracks/spanish8.mp3","spanish8"
"1676624695-2853","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=348","birth place: bogota, colombia (map)","spanish","other language(s): arabic french german swedish esperanto","age, sex: 21, female","age of english onset: 20","english learning method: academic","english residence: usa","length of english residence: 0.4 years","/soundtracks/spanish7.mp3","spanish7"
"1676624698-2854","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=347","birth place: lima, peru (map)","spanish","other language(s): none","age, sex: 20, male","age of english onset: 19","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/spanish6.mp3","spanish6"
"1676624700-2855","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=346","birth place: bogota, colombia (map)","spanish","other language(s): french german","age, sex: 52, female","age of english onset: 13","english learning method: naturalistic","english residence: usa","length of english residence: 17 years","/soundtracks/spanish5.mp3","spanish5"
"1676624703-2856","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=345","birth place: cabanas, el salvador (map)","spanish","other language(s): none","age, sex: 21, female","age of english onset: 17","english learning method: academic","english residence: usa","length of english residence: 4 years","/soundtracks/spanish4.mp3","spanish4"
"1676624706-2857","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=344","birth place: bogota, colombia (map)","spanish","other language(s): none","age, sex: 17, female","age of english onset: 16","english learning method: academic","english residence: usa","length of english residence: 0.1 years","/soundtracks/spanish3.mp3","spanish3"
"1676624708-2858","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=343","birth place: san miguel, el salvador (map)","spanish","other language(s): none","age, sex: 20, female","age of english onset: 18","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/spanish28.mp3","spanish28"
"1676624711-2859","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=342","birth place: zaragoza, spain (map)","spanish","other language(s): none","age, sex: 34, male","age of english onset: 14","english learning method: academic","english residence: ireland","length of english residence: 0.1 years","/soundtracks/spanish27.mp3","spanish27"
"1676624714-2860","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=341","birth place: burgos, spain (map)","spanish","other language(s): french german swedish esperanto","age, sex: 18, male","age of english onset: 6","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/spanish26.mp3","spanish26"
"1676624716-2861","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=340","birth place: san jose, costa rica (map)","spanish","other language(s): italian french","age, sex: 26, male","age of english onset: 21","english learning method: academic","english residence: usa","length of english residence: 5 years","/soundtracks/spanish25.mp3","spanish25"
"1676624719-2862","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=339","birth place: mexico city, mexico (map)","spanish","other language(s): french","age, sex: 27, male","age of english onset: 5","english learning method: academic","english residence: usa","length of english residence: 1.8 years","/soundtracks/spanish24.mp3","spanish24"
"1676624721-2863","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=338","birth place: santiago, chile (map)","spanish","other language(s): swedish italian","age, sex: 22, male","age of english onset: 7","english learning method: academic","english residence: usa","length of english residence: 0.1 years","/soundtracks/spanish23.mp3","spanish23"
"1676624724-2864","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=337","birth place: madrid, spain (map)","spanish","other language(s): german","age, sex: 32, female","age of english onset: 11","english learning method: academic","english residence: usa","length of english residence: 0.8 years","/soundtracks/spanish22.mp3","spanish22"
"1676624726-2865","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=336","birth place: santiago, chile (map)","spanish","other language(s): none","age, sex: 25, male","age of english onset: 18","english learning method: naturalistic","english residence:","length of english residence: 0 years","/soundtracks/spanish21.mp3","spanish21"
"1676624729-2866","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=335","birth place: managua, nicaragua (map)","spanish","other language(s): none","age, sex: 45, male","age of english onset: 30","english learning method: academic","english residence: usa","length of english residence: 18 years","/soundtracks/spanish20.mp3","spanish20"
"1676624731-2867","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=334","birth place: puerto la cruz, venezuela (map)","spanish","other language(s): german","age, sex: 20, male","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 0.5 years","/soundtracks/spanish2.mp3","spanish2"
"1676624734-2868","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=333","birth place: havana, cuba (map)","spanish","other language(s): none","age, sex: 25, female","age of english onset: 17","english learning method: academic","english residence: usa","length of english residence: 5 years","/soundtracks/spanish19.mp3","spanish19"
"1676624736-2869","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=332","birth place: la paz, bolivia (map)","spanish","other language(s): none","age, sex: 22, male","age of english onset: 17","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/spanish18.mp3","spanish18"
"1676624739-2870","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=331","birth place: puebla, mexico (map)","spanish","other language(s): none","age, sex: 22, female","age of english onset: 9","english learning method: academic","english residence: usa","length of english residence: 10 years","/soundtracks/spanish17.mp3","spanish17"
"1676624741-2871","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=330","birth place: buenos aires, argentina (map)","spanish","other language(s): french german","age, sex: 44, male","age of english onset: 25","english learning method: naturalistic","english residence: usa","length of english residence: 19 years","/soundtracks/spanish16.mp3","spanish16"
"1676624744-2872","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=329","birth place: san juan, puerto rico (map)","spanish","other language(s): portuguese","age, sex: 54, male","age of english onset: 4","english learning method: academic","english residence: usa","length of english residence: 21 years","/soundtracks/spanish15.mp3","spanish15"
"1676624746-2873","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=328","birth place: pereira, colombia (map)","spanish","other language(s): none","age, sex: 34, female","age of english onset: 15","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/spanish14.mp3","spanish14"
"1676624749-2874","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=327","birth place: duitama, colombia (map)","spanish","other language(s): none","age, sex: 29, female","age of english onset: 11","english learning method: academic","english residence: usa","length of english residence: 1.2 years","/soundtracks/spanish13.mp3","spanish13"
"1676624751-2875","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=326","birth place: oviedo, spain (map)","spanish","other language(s): french","age, sex: 25, male","age of english onset: 8","english learning method: academic","english residence: usa","length of english residence: 5 years","/soundtracks/spanish12.mp3","spanish12"
"1676624754-2876","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=325","birth place: lima, peru (map)","spanish","other language(s): none","age, sex: 49, female","age of english onset: 28","english learning method: academic","english residence: usa","length of english residence: 9 years","/soundtracks/spanish11.mp3","spanish11"
"1676624756-2877","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=324","birth place: san luis de la reina, el salvador (map)","spanish","other language(s): none","age, sex: 48, male","age of english onset: 47","english learning method: academic","english residence: usa","length of english residence: 10 years","/soundtracks/spanish10.mp3","spanish10"
"1676624759-2878","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=323","birth place: caracas, venezuela (map)","spanish","other language(s): none","age, sex: 24, male","age of english onset: 17","english learning method: academic","english residence: usa","length of english residence: 0.3 years","/soundtracks/spanish1.mp3","spanish1"
"1676624761-2879","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=322","birth place: mogadishu, somalia (map)","somali","other language(s): arabic","age, sex: 26, female","age of english onset: 24","english learning method: academic","english residence: usa","length of english residence: 4 years","/soundtracks/somali1.mp3","somali1"
"1676624764-2880","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=321","birth place: nitra, slovak republic (map)","slovak","other language(s): russian","age, sex: 51, female","age of english onset: 16","english learning method: academic","english residence: usa","length of english residence: 20 years","/soundtracks/slovak3.mp3","slovak3"
"1676624766-2881","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=320","birth place: piestany, slovak republic (map)","slovak","other language(s): german russian","age, sex: 23, female","age of english onset: 17","english learning method: academic","english residence: usa","length of english residence: 0.6 years","/soundtracks/slovak2.mp3","slovak2"
"1676624769-2882","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=319","birth place: kosice, slovak republic (map)","slovak","other language(s): russian","age, sex: 25, female","age of english onset: 14","english learning method: academic","english residence: usa","length of english residence: 0.3 years","/soundtracks/slovak1.mp3","slovak1"
"1676624771-2883","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=318","birth place: colombo, sri lanka (map)","sinhala","other language(s): malay","age, sex: 28, female","age of english onset: 11","english learning method: academic","english residence: usa","length of english residence: 15 years","/soundtracks/sinhala2.mp3","sinhala2"
"1676624774-2884","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=317","birth place: colombo, sri lanka (map)","sinhala","other language(s): none","age, sex: 33, female","age of english onset: 4","english learning method: academic","english residence: usa","length of english residence: 7 years","/soundtracks/sinhala1.mp3","sinhala1"
"1676624776-2885","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=316","birth place: fiumedinisi, sicily (map)","sicilian","other language(s): italian spanish french","age, sex: 77, male","age of english onset: 23","english learning method: naturalistic","english residence: usa","length of english residence: 54 years","/soundtracks/sicilian1.mp3","sicilian1"
"1676624779-2886","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=315","birth place: zrenjanin, serbia, serbia (map)","serbian","other language(s): german","age, sex: 36, male","age of english onset: 15","english learning method: academic","english residence: usa","length of english residence: 0.8 years","/soundtracks/serbian2.mp3","serbian2"
"1676624784-2887","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=314","birth place: bosanska krupa, bosnia (map)","serbian","other language(s): german","age, sex: 47, female","age of english onset: 47","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/serbian1.mp3","serbian1"
"1676624787-2888","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=313","birth place: satawal island, yap state, federated states of micronesia (map)","satawalese","other language(s): woleaian ulithian chuukese","age, sex: 30, female","age of english onset: 6","english learning method: academic","english residence: federated states of micronesia","length of english residence: 30 years","/soundtracks/satawalese2.mp3","satawalese2"
"1676624789-2889","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=312","birth place: satawal island, yap state, federated states of micronesia (map)","satawalese","other language(s): woleaian ulithian chuukese","age, sex: 41, male","age of english onset: 6","english learning method: academic","english residence: federated states of micronesia","length of english residence: 41 years","/soundtracks/satawalese1.mp3","satawalese1"
"1676624792-2890","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=311","birth place: ndjamena, chad (map)","sarua","other language(s): arabic french","age, sex: 21, male","age of english onset: 10","english learning method: academic","english residence: usa","length of english residence: 0.1 years","/soundtracks/sarua1.mp3","sarua1"
"1676624794-2891","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=310","birth place: zofingen, switzerland (map)","sardinian","other language(s): german","age, sex: 35, female","age of english onset: 11","english learning method: academic","english residence: usa,uk","length of english residence: 13 years","/soundtracks/sardinian1.mp3","sardinian1"
"1676624796-2892","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=309","birth place: moscow, russia (map)","russian","other language(s): hebrew italian","age, sex: 23, male","age of english onset: 7","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/russian9.mp3","russian9"
"1676624799-2893","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=308","birth place: moscow, russia (map)","russian","other language(s): none","age, sex: 66, male","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 27 years","/soundtracks/russian8.mp3","russian8"
"1676624801-2894","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=307","birth place: kiev, ukraine (map)","russian","other language(s): ukrainian","age, sex: 54, female","age of english onset: 13","english learning method: academic","english residence: usa","length of english residence: 23 years","/soundtracks/russian7.mp3","russian7"
"1676624804-2895","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=306","birth place: moscow, russia (map)","russian","other language(s): none","age, sex: 26, female","age of english onset: 11","english learning method: academic","english residence: usa","length of english residence: 3 years","/soundtracks/russian6.mp3","russian6"
"1676624806-2896","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=305","birth place: khabarovsk, russia (map)","russian","other language(s): hebrew","age, sex: 25, female","age of english onset: 15","english learning method: academic","english residence: usa","length of english residence: 0.3 years","/soundtracks/russian5.mp3","russian5"
"1676624809-2897","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=304","birth place: moscow, russia (map)","russian","other language(s): albanian","age, sex: 68, female","age of english onset: 38","english learning method: academic","english residence: usa","length of english residence: 9 years","/soundtracks/russian4.mp3","russian4"
"1676624811-2898","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=303","birth place: zaporizhzhya, ukraine (map)","russian","other language(s): ukrainian","age, sex: 35, female","age of english onset: 6","english learning method: academic","english residence: usa","length of english residence: 7 years","/soundtracks/russian3.mp3","russian3"
"1676624814-2899","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=302","birth place: izmail, ukraine (map)","russian","other language(s): polish czech","age, sex: 50, female","age of english onset: 10","english learning method: academic","english residence: usa","length of english residence: 7 years","/soundtracks/russian2.mp3","russian2"
"1676624816-2900","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=301","birth place: ola magadan, russia (map)","russian","other language(s): french german","age, sex: 54, male","age of english onset: 13","english learning method: academic","english residence: usa","length of english residence: 15 years","/soundtracks/russian11.mp3","russian11"
"1676624819-2901","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=300","birth place: moscow, russia (map)","russian","other language(s): french polish german japanese welsh","age, sex: 20, female","age of english onset: 5","english learning method: academic","english residence: uk","length of english residence: 0.5 years","/soundtracks/russian10.mp3","russian10"
"1676624821-2902","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=299","birth place: nizhni novgorod, russia (map)","russian","other language(s): none","age, sex: 37, male","age of english onset: 36","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/russian1.mp3","russian1"
"1676624824-2903","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=298","birth place: bucharest, romania (map)","romanian","other language(s): german french","age, sex: 35, female","age of english onset: 32","english learning method: naturalistic","english residence:","length of english residence: 0 years","/soundtracks/romanian4.mp3","romanian4"
"1676624826-2904","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=297","birth place: birtem, romania (map)","romanian","other language(s): none","age, sex: 50, male","age of english onset: 32","english learning method: naturalistic","english residence: usa","length of english residence: 18 years","/soundtracks/romanian3.mp3","romanian3"
"1676624829-2905","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=296","birth place: bucharest, romania (map)","romanian","other language(s): spanish","age, sex: 62, male","age of english onset: 14","english learning method: academic","english residence: usa","length of english residence: 22 years","/soundtracks/romanian2.mp3","romanian2"
"1676624834-2906","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=295","birth place: timisoara, romania (map)","romanian","other language(s): russian","age, sex: 24, male","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/romanian1.mp3","romanian1"
"1676624836-2907","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=294","birth place: huanuco, provincia dos de mayo, peru (map)","quechua","other language(s): spanish portuguese","age, sex: 32, female","age of english onset: 27","english learning method: naturalistic","english residence: usa","length of english residence: 5 years","/soundtracks/quechua2.mp3","quechua2"
"1676624839-2908","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=293","birth place: cochabamba, bolivia (map)","quechua","other language(s): spanish","age, sex: 53, female","age of english onset: 15","english learning method: academic","english residence: usa","length of english residence: 8 years","/soundtracks/quechua1.mp3","quechua1"
"1676624841-2909","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=292","birth place: hoshiarpur, india (map)","punjabi","other language(s): hindi-urdu thai","age, sex: 26, male","age of english onset: 10","english learning method: academic","english residence: usa","length of english residence: 0.6 years","/soundtracks/punjabi2.mp3","punjabi2"
"1676624844-2910","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=291","birth place: sargodha, pakistan (map)","punjabi","other language(s): urdu","age, sex: 34, male","age of english onset: 10","english learning method: academic","english residence: usa","length of english residence: 0.25 years","/soundtracks/punjabi1.mp3","punjabi1"
"1676624846-2911","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=290","birth place: sao paulo, brazil (map)","portuguese","other language(s): french spanish","age, sex: 18, male","age of english onset: 14","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/portuguese9.mp3","portuguese9"
"1676624849-2912","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=289","birth place: fortaleza, brazil (map)","portuguese","other language(s): french spanish","age, sex: 26, male","age of english onset: 7","english learning method: academic","english residence: uk","length of english residence: 8.5 years","/soundtracks/portuguese8.mp3","portuguese8"
"1676624852-2913","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=288","birth place: vitoria, brazil (map)","portuguese","other language(s): spanish","age, sex: 40, male","age of english onset: 11","english learning method: naturalistic","english residence:","length of english residence: 0 years","/soundtracks/portuguese7.mp3","portuguese7"
"1676624854-2914","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=287","birth place: sao paulo, brazil (map)","portuguese","other language(s): none","age, sex: 44, male","age of english onset: 15","english learning method: academic","english residence: usa","length of english residence: 0.1 years","/soundtracks/portuguese6.mp3","portuguese6"
"1676624857-2915","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=286","birth place: lubango, angola (map)","portuguese","other language(s): spanish german","age, sex: 31, male","age of english onset: 13","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/portuguese5.mp3","portuguese5"
"1676624859-2916","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=285","birth place: cabinda, angola (map)","portuguese","other language(s): french spanish","age, sex: 20, male","age of english onset: 15","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/portuguese4.mp3","portuguese4"
"1676624861-2917","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=284","birth place: blumenau, brazil (map)","portuguese","other language(s): spanish","age, sex: 18, female","age of english onset: 15","english learning method: academic","english residence: usa","length of english residence: 1.2 years","/soundtracks/portuguese3.mp3","portuguese3"
"1676624864-2918","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=283","birth place: brasilia, brazil (map)","portuguese","other language(s): spanish","age, sex: 18, female","age of english onset: 10","english learning method: academic","english residence: usa","length of english residence: 0.2 years","/soundtracks/portuguese2.mp3","portuguese2"
"1676624866-2919","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=282","birth place: novo hamburgo, rio grande do sul, brazil (map)","portuguese","other language(s): spanish","age, sex: 21, male","age of english onset: 13","english learning method: academic","english residence: usa","length of english residence: 0.5 years","/soundtracks/portuguese10.mp3","portuguese10"
"1676624869-2920","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=281","birth place: bahia, brazil (map)","portuguese","other language(s): spanish","age, sex: 37, female","age of english onset: 16","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/portuguese1.mp3","portuguese1"
"1676624872-2921","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=280","birth place: krakow, poland (map)","polish","other language(s): russian german slovak","age, sex: 47, female","age of english onset: 15","english learning method: academic","english residence: usa","length of english residence: 14 years","/soundtracks/polish4.mp3","polish4"
"1676624874-2922","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=279","birth place: nowy sacz, poland (map)","polish","other language(s): russian japanese spanish","age, sex: 31, female","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 10 years","/soundtracks/polish3.mp3","polish3"
"1676624877-2923","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=278","birth place: mielec, poland (map)","polish","other language(s): russian german","age, sex: 26, female","age of english onset: 25","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/polish2.mp3","polish2"
"1676624879-2924","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=277","birth place: janow, poland (map)","polish","other language(s): german","age, sex: 26, female","age of english onset: 23","english learning method: academic","english residence: usa","length of english residence: 0.25 years","/soundtracks/polish1.mp3","polish1"
"1676624882-2925","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=276","birth place: kolonia, pohnpei, federated states of micronesia (map)","pohnpeian","other language(s): chuukese","age, sex: 18, male","age of english onset: 3","english learning method: naturalistic","english residence: usa","length of english residence: 0.25 years","/soundtracks/pohnpeian1.mp3","pohnpeian1"
"1676624884-2926","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=275","birth place: wellga, ethiopia (map)","oromo","other language(s): amharic","age, sex: 33, female","age of english onset: 11","english learning method: academic","english residence: usa","length of english residence: 11 years","/soundtracks/oromo1.mp3","oromo1"
"1676624887-2927","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=274","birth place: volda, norway (map)","norwegian","other language(s): swedish danish german","age, sex: 19, male","age of english onset: 5","english learning method: naturalistic","english residence: usa","length of english residence: 0.8 years","/soundtracks/norwegian3.mp3","norwegian3"
