web-scraper-order,web-scraper-start-url,birth-place,native-language,other-languages,age-sex,age-of-english-onset,english-method,english-residence,length-residence,mp3-link,website-tag
"1676625553-3189","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=12","birth place: cairo, egypt (map)","arabic","other language(s): french german","age, sex: 26, male","age of english onset: 5","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/arabic10.mp3","arabic10"
"1676625555-3190","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=11","birth place: riyadh, saudi arabia (map)","arabic","other language(s): none","age, sex: 38, female","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 4 years","/soundtracks/arabic1.mp3","arabic1"
"1676625558-3191","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=10","birth place: addis ababa, ethiopia (map)","amharic","other language(s): russian","age, sex: 31, male","age of english onset: 7","english learning method: academic","english residence: usa","length of english residence: 3 years","/soundtracks/amharic5.mp3","amharic5"
"1676625560-3192","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=9","birth place: addis ababa, ethiopia (map)","amharic","other language(s): none","age, sex: 20, male","age of english onset: 7","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/amharic4.mp3","amharic4"
"1676625563-3193","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=8","birth place: addis ababa, ethiopia (map)","amharic","other language(s): oromo","age, sex: 27, male","age of english onset: 8","english learning method: academic","english residence: usa","length of english residence: 4 years","/soundtracks/amharic3.mp3","amharic3"
"1676625566-3194","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=7","birth place: arba minch, ethiopia (map)","amharic","other language(s): gamugna","age, sex: 23, male","age of english onset: 7","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/amharic2.mp3","amharic2"
"1676625568-3195","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=6","birth place: addis ababa, ethiopia (map)","amharic","other language(s): none","age, sex: 20, female","age of english onset: 5","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/amharic1.mp3","amharic1"
"1676625571-3196","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=5","birth place: tirana, albania (map)","albanian","other language(s): german italian","age, sex: 33, male","age of english onset: 15","english learning method: naturalistic","english residence: usa","length of english residence: 0.04 years","/soundtracks/albanian2.mp3","albanian2"
"1676625573-3197","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=4","birth place: prishtina, kosovo (map)","albanian","other language(s): serbian macedonian bosnian","age, sex: 19, male","age of english onset: 6","english learning method: naturalistic","english residence: usa","length of english residence: 3 years","/soundtracks/albanian1.mp3","albanian1"
"1676625576-3198","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3","birth place: diekabo, ivory coast (map)","agni","other language(s): french","age, sex: 25, male","age of english onset: 15","english learning method: academic","english residence: usa","length of english residence: 1.2 years","/soundtracks/agni1.mp3","agni1"
"1676625578-3199","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2","birth place: pretoria, south africa (map)","afrikaans","other language(s): dutch german french","age, sex: 40, male","age of english onset: 5","english learning method: academic","english residence: usa","length of english residence: 10 years","/soundtracks/afrikaans2.mp3","afrikaans2"
"1676625581-3200","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1","birth place: virginia, south africa (map)","afrikaans","other language(s): tswana","age, sex: 27, female","age of english onset: 9","english learning method: academic","english residence: usa","length of english residence: 0.5 years","/soundtracks/afrikaans1.mp3","afrikaans1"
