web-scraper-order,web-scraper-start-url,birth-place,native-language,other-languages,age-sex,age-of-english-onset,english-method,english-residence,length-residence,mp3-link,website-tag
"1676617720-101","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3100","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617723-102","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3099","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617725-103","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3098","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617727-104","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3097","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617730-105","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3096","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617732-106","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3095","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617734-107","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3094","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617737-108","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3093","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617739-109","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3092","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617741-110","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3091","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617744-111","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3090","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617746-112","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3089","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617748-113","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3088","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617751-114","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3087","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617753-115","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3086","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617756-116","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3085","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617758-117","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3084","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
"1676617760-118","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3083","birth place:","","other language(s): none","age, sex: ,","age of english onset:","english learning method:","english residence:","length of english residence:  years","/soundtracks/",""
